Index,Player,Base Price,TYPE,COST IN (CR.),Cost IN $ (000),Team
66,Yash Dhull,20 Lakh,ALL-ROUNDER,0.5,65,Delhi Capitals
67,Ashwin Hebbar,20 Lakh,BATTER,0.2,26,Delhi Capitals
68,Sarfaraz Khan,20 Lakh,ALL-ROUNDER,0.2,26,Delhi Capitals
69,Ripal Patel,20 Lakh,ALL-ROUNDER,0.2,26,Delhi Capitals
70,Vicky Ostwal,20 Lakh,ALL-ROUNDER,0.2,26,Delhi Capitals
71,Shreyas Iyer,2 Cr,BATTER,12.25,1592.5,Kolkata Knight Riders
72,Andre Russell,Retained,ALL-ROUNDER,12,1560,Kolkata Knight Riders
73,Nitish Rana,1 Cr,ALL-ROUNDER,8,1040,Kolkata Knight Riders
74,Venkatesh Iyer,Retained,ALL-ROUNDER,8,1040,Kolkata Knight Riders
75,Varun Chakaravarthy,Retained,BOWLER,8,1040,Kolkata Knight Riders
76,Pat Cummins,2 Cr,ALL-ROUNDER,7.25,942.5,Kolkata Knight Riders
77,Shivam Mavi,40 Lakh,ALL-ROUNDER,7.25,942.5,Kolkata Knight Riders
78,Sunil Narine,Retained,ALL-ROUNDER,6,780,Kolkata Knight Riders
79,Sam Billings,2 Cr,WICKETKEEPER,2,260,Kolkata Knight Riders
80,Umesh Yadav,2 Cr,BOWLER,2,260,Kolkata Knight Riders
81,Tim Southee,1.5 Cr,BOWLER,1.5,195,Kolkata Knight Riders
82,Alex Hales,1.5 Cr,BATTER,1.5,195,Kolkata Knight Riders
83,Ajinkya Rahane,1 Cr,BATTER,1,130,Kolkata Knight Riders
84,Mohammad Nabi,1 Cr,ALL-ROUNDER,1,130,Kolkata Knight Riders
85,Sheldon Jackson,30 Lakh,WICKETKEEPER,0.6,78,Kolkata Knight Riders
86,Rinku Singh,20 Lakh,BATTER,0.55,71.5,Kolkata Knight Riders
87,Ashok Sharma,20 Lakh,BOWLER,0.55,71.5,Kolkata Knight Riders
88,Chamika Karunaratne,50 Lakh,ALL-ROUNDER,0.5,65,Kolkata Knight Riders
89,Abhijeet Tomar,20 Lakh,BATTER,0.4,52,Kolkata Knight Riders
90,Rasikh Dar,20 Lakh,BOWLER,0.2,26,Kolkata Knight Riders
91,Anukul Roy,20 Lakh,ALL-ROUNDER,0.2,26,Kolkata Knight Riders
92,Baba Indrajith,20 Lakh,WICKETKEEPER,0.2,26,Kolkata Knight Riders
93,Aman Khan,20 Lakh,ALL-ROUNDER,0.2,26,Kolkata Knight Riders
94,Ramesh Kumar,20 Lakh,BATTER,0.2,26,Kolkata Knight Riders
95,Pratham Singh,20 Lakh,BATTER,0.2,26,Kolkata Knight Riders
96,Mayank Agarwal,Retained,BATTER,12,1560,Punjab Kings
97,Liam Livingstone,1 Cr,ALL-ROUNDER,11.5,1495,Punjab Kings
98,Kagiso Rabada,2 Cr,BOWLER,9.25,1202.5,Punjab Kings
99,Shahrukh Khan,40 Lakh,ALL-ROUNDER,9,1170,Punjab Kings
100,Shikhar Dhawan,2 Cr,BATTER,8.25,1072.5,Punjab Kings
101,Jonny Bairstow,1.5 Cr,WICKETKEEPER,6.75,877.5,Punjab Kings
102,Odean Smith,1 Cr,ALL-ROUNDER,6,780,Punjab Kings
103,Rahul Chahar,75 Lakh,BOWLER,5.25,682.5,Punjab Kings
104,Arshdeep Singh,Retained,BOWLER,4,520,Punjab Kings
105,Harpreet Brar,20 Lakh,ALL-ROUNDER,3.8,494,Punjab Kings
106,Vaibhav Arora,20 Lakh,BOWLER,2,260,Punjab Kings
107,Raj Angad Bawa,20 Lakh,ALL-ROUNDER,2,260,Punjab Kings
108,Nathan Ellis,75 Lakh,BOWLER,0.75,97.5,Punjab Kings
109,Prabhsimran Singh,20 Lakh,WICKETKEEPER,0.6,78,Punjab Kings
110,Rishi Dhawan,50 Lakh,ALL-ROUNDER,0.55,71.5,Punjab Kings
111,Sandeep Sharma,50 Lakh,BOWLER,0.5,65,Punjab Kings
112,Bhanuka Rajapaksa,50 Lakh,BATTER,0.5,65,Punjab Kings
113,Benny Howell,40 Lakh,ALL-ROUNDER,0.4,52,Punjab Kings
114,Ishan Porel,20 Lakh,BOWLER,0.25,32.5,Punjab Kings
115,Prerak Mankad,20 Lakh,ALL-ROUNDER,0.2,26,Punjab Kings
116,Ansh Patel,20 Lakh,ALL-ROUNDER,0.2,26,Punjab Kings
117,Jitesh Sharma,20 Lakh,WICKETKEEPER,0.2,26,Punjab Kings
118,Writtick Chatterjee,20 Lakh,ALL-ROUNDER,0.2,26,Punjab Kings
119,Atharva Taide,20 Lakh,ALL-ROUNDER,0.2,26,Punjab Kings
120,Baltej Dhanda,20 Lakh,BOWLER,0.2,26,Punjab Kings
121,KL Rahul,Draft Pick,WICKETKEEPER,17,2210,Lucknow Super Giants
122,Avesh Khan,20 Lakh,BOWLER,10,1300,Lucknow Super Giants
123,Marcus Stoinis,Draft Pick,ALL-ROUNDER,9.2,1196,Lucknow Super Giants
124,Jason Holder,1.5 Cr,ALL-ROUNDER,8.75,1137.5,Lucknow Super Giants
125,Krunal Pandya,2 Cr,ALL-ROUNDER,8.25,1072.5,Lucknow Super Giants
126,Mark Wood,2 Cr,BOWLER,7.5,975,Lucknow Super Giants
127,Quinton De Kock,2 Cr,WICKETKEEPER,6.75,877.5,Lucknow Super Giants
128,Deepak Hooda,75 Lakh,ALL-ROUNDER,5.75,747.5,Lucknow Super Giants
129,Manish Pandey,1 Cr,BATTER,4.6,598,Lucknow Super Giants
130,Ravi Bishnoi,Draft Pick,BOWLER,4,520,Lucknow Super Giants
131,Dushmanta Chameera,50 Lakh,BOWLER,2,260,Lucknow Super Giants
132,Evin Lewis,2 Cr,BATTER,2,260,Lucknow Super Giants
133,K. Gowtham,50 Lakh,ALL-ROUNDER,0.9,117,Lucknow Super Giants
134,Kyle Mayers,50 Lakh,ALL-ROUNDER,0.5,65,Lucknow Super Giants
135,Shahbaz Nadeem,50 Lakh,BOWLER,0.5,65,Lucknow Super Giants
136,Ankit Singh Rajpoot,20 Lakh,BOWLER,0.5,65,Lucknow Super Giants
137,Manan Vohra,20 Lakh,BATTER,0.2,26,Lucknow Super Giants
138,B. Sai Sudharsan,20 Lakh,ALL-ROUNDER,0.2,26,Lucknow Super Giants
139,Karan Sharma,20 Lakh,ALL-ROUNDER,0.2,26,Lucknow Super Giants
140,Ayush Badoni,20 Lakh,ALL-ROUNDER,0.2,26,Lucknow Super Giants
141,Mohsin Khan,20 Lakh,BOWLER,0.2,26,Lucknow Super Giants
142,Mayank Yadav,20 Lakh,BOWLER,0.2,26,Lucknow Super Giants
143,Rohit Sharma,Retained,BATTER,16,2080,Mumbai Indians
144,Ishan Kishan,2 Cr,WICKETKEEPER,15.25,1982.5,Mumbai Indians
145,Jasprit Bumrah,Retained,BOWLER,12,1560,Mumbai Indians
146,Tim David,40 Lakh,ALL-ROUNDER,8.25,1072.5,Mumbai Indians
147,Jofra Archer,2 Cr,ALL-ROUNDER,8,1040,Mumbai Indians
148,Suryakumar Yadav,Retained,BATTER,8,1040,Mumbai Indians
149,Kieron Pollard,Retained,ALL-ROUNDER,6,780,Mumbai Indians
150,Dewald Brevis,20 Lakh,BATTER,3,390,Mumbai Indians
151,Daniel Sams,1 Cr,ALL-ROUNDER,2.6,338,Mumbai Indians
152,N. Tilak Varma,20 Lakh,ALL-ROUNDER,1.7,221,Mumbai Indians
153,Murugan Ashwin,20 Lakh,BOWLER,1.6,208,Mumbai Indians
154,Tymal Mills,1 Cr,BOWLER,1.5,195,Mumbai Indians
155,Jaydev Unadkat,75 Lakh,BOWLER,1.3,169,Mumbai Indians
156,Riley Meredith,1 Cr,BOWLER,1,130,Mumbai Indians
157,Fabian Allen,75 Lakh,ALL-ROUNDER,0.75,97.5,Mumbai Indians
158,Mayank Markande,50 Lakh,BOWLER,0.65,84.5,Mumbai Indians
159,Sanjay Yadav,20 Lakh,ALL-ROUNDER,0.5,65,Mumbai Indians
160,Arjun Tendulkar,20 Lakh,ALL-ROUNDER,0.3,39,Mumbai Indians
161,Basil Thampi,30 Lakh,BOWLER,0.3,39,Mumbai Indians
162,Anmolpreet Singh,20 Lakh,BATTER,0.2,26,Mumbai Indians
163,Aryan Juyal,20 Lakh,WICKETKEEPER,0.2,26,Mumbai Indians
164,Ramandeep Singh,20 Lakh,ALL-ROUNDER,0.2,26,Mumbai Indians
165,Rahul Buddhi,20 Lakh,BATTER,0.2,26,Mumbai Indians
166,Hrithik Shokeen,20 Lakh,ALL-ROUNDER,0.2,26,Mumbai Indians
167,Mohd. Arshad Khan,20 Lakh,ALL-ROUNDER,0.2,26,Mumbai Indians
168,Virat Kohli,Retained,BATTER,15,1950,Royal Challengers Bangalore
169,Glenn Maxwell,Retained,ALL-ROUNDER,11,1430,Royal Challengers Bangalore
170,Wanindu Hasaranga,1 Cr,ALL-ROUNDER,10.75,1397.5,Royal Challengers Bangalore
171,Harshal Patel,2 Cr,ALL-ROUNDER,10.75,1397.5,Royal Challengers Bangalore
172,Josh Hazlewood,2 Cr,BOWLER,7.75,1007.5,Royal Challengers Bangalore
173,Faf Du Plessis,2 Cr,BATTER,7,910,Royal Challengers Bangalore
174,Mohammed Siraj,Retained,BOWLER,7,910,Royal Challengers Bangalore
175,Dinesh Karthik,2 Cr,WICKETKEEPER,5.5,715,Royal Challengers Bangalore
176,Anuj Rawat,20 Lakh,WICKETKEEPER,3.4,442,Royal Challengers Bangalore
177,Shahbaz Ahamad,30 Lakh,ALL-ROUNDER,2.4,312,Royal Challengers Bangalore
178,David Willey,2 Cr,ALL-ROUNDER,2,260,Royal Challengers Bangalore
179,Sherfane Rutherford,1 Cr,ALL-ROUNDER,1,130,Royal Challengers Bangalore
180,Mahipal Lomror,40 Lakh,ALL-ROUNDER,0.95,123.5,Royal Challengers Bangalore
181,Finn Allen,50 Lakh,BATTER,0.8,104,Royal Challengers Bangalore
182,Siddharth Kaul,75 Lakh,BOWLER,0.75,97.5,Royal Challengers Bangalore
183,Jason Behrendorff,75 Lakh,BOWLER,0.75,97.5,Royal Challengers Bangalore
184,Karn Sharma,50 Lakh,BOWLER,0.5,65,Royal Challengers Bangalore
185,Suyash Prabhudessai,20 Lakh,ALL-ROUNDER,0.3,39,Royal Challengers Bangalore
186,Chama Milind,20 Lakh,BOWLER,0.25,32.5,Royal Challengers Bangalore
187,Akash Deep,20 Lakh,BOWLER,0.2,26,Royal Challengers Bangalore
188,Aneeshwar Gautam,20 Lakh,ALL-ROUNDER,0.2,26,Royal Challengers Bangalore
189,Luvnith Sisodia,20 Lakh,WICKETKEEPER,0.2,26,Royal Challengers Bangalore
190,Sanju Samson,Retained,WICKETKEEPER,14,1820,Rajasthan Royals
191,Jos Buttler,Retained,WICKETKEEPER,10,1300,Rajasthan Royals
192,Prasidh Krishna,1 Cr,BOWLER,10,1300,Rajasthan Royals
193,Shimron Hetmyer,1.5 Cr,BATTER,8.5,1105,Rajasthan Royals
194,Trent Boult,2 Cr,BOWLER,8,1040,Rajasthan Royals
195,Devdutt Padikkal,2 Cr,BATTER,7.75,1007.5,Rajasthan Royals
196,Yuzvendra Chahal,2 Cr,BOWLER,6.5,845,Rajasthan Royals
197,R. Ashwin,2 Cr,ALL-ROUNDER,5,650,Rajasthan Royals
198,Yashaswi Jaiswal,Retained,BATTER,4,520,Rajasthan Royals
199,Riyan Parag,30 Lakh,ALL-ROUNDER,3.8,494,Rajasthan Royals
200,Navdeep Saini,75 Lakh,BOWLER,2.6,338,Rajasthan Royals
201,Nathan Coulter-Nile,2 Cr,BOWLER,2,260,Rajasthan Royals
202,James Neesham,1.5 Cr,ALL-ROUNDER,1.5,195,Rajasthan Royals
203,Karun Nair,50 Lakh,BATTER,1.4,182,Rajasthan Royals
204,Rassie Van Der Dussen,1 Cr,BATTER,1,130,Rajasthan Royals
205,Obed Mccoy,75 Lakh,BOWLER,0.75,97.5,Rajasthan Royals
206,Daryl Mitchell,75 Lakh,ALL-ROUNDER,0.75,97.5,Rajasthan Royals
207,K.C Cariappa,20 Lakh,BOWLER,0.3,39,Rajasthan Royals
208,Anunay Singh,20 Lakh,ALL-ROUNDER,0.2,26,Rajasthan Royals
209,Kuldeep Sen,20 Lakh,BOWLER,0.2,26,Rajasthan Royals
210,Dhruv Jurel,20 Lakh,WICKETKEEPER,0.2,26,Rajasthan Royals
211,Tejas Baroka,20 Lakh,BOWLER,0.2,26,Rajasthan Royals
212,Kuldip Yadav,20 Lakh,BOWLER,0.2,26,Rajasthan Royals
213,Shubham Garhwal,20 Lakh,ALL-ROUNDER,0.2,26,Rajasthan Royals
214,Kane Williamson,Retained,BATTER,14,1820,Sunrisers Hyderabad
215,Nicholas Pooran,1.5 Cr,WICKETKEEPER,10.75,1397.5,Sunrisers Hyderabad
216,Washington Sundar,1.5 Cr,ALL-ROUNDER,8.75,1137.5,Sunrisers Hyderabad
217,Rahul Tripathi,40 Lakh,BATTER,8.5,1105,Sunrisers Hyderabad
218,Romario Shepherd,75 Lakh,ALL-ROUNDER,7.75,1007.5,Sunrisers Hyderabad
219,Abhishek Sharma,20 Lakh,ALL-ROUNDER,6.5,845,Sunrisers Hyderabad
220,Marco Jansen,50 Lakh,ALL-ROUNDER,4.2,546,Sunrisers Hyderabad
221,Bhuvneshwar Kumar,2 Cr,BOWLER,4.2,546,Sunrisers Hyderabad
222,T. Natarajan,1 Cr,BOWLER,4,520,Sunrisers Hyderabad
223,Abdul Samad,Retained,ALL-ROUNDER,4,520,Sunrisers Hyderabad
224,Umran Malik,Retained,BOWLER,4,520,Sunrisers Hyderabad
225,Kartik Tyagi,20 Lakh,BOWLER,4,520,Sunrisers Hyderabad
226,Aiden Markram,1 Cr,BATTER,2.6,338,Sunrisers Hyderabad
227,Sean Abbott,75 Lakh,BOWLER,2.4,312,Sunrisers Hyderabad
228,Glenn Phillips,1.5 Cr,WICKETKEEPER,1.5,195,Sunrisers Hyderabad
229,Shreyas Gopal,20 Lakh,BOWLER,0.75,97.5,Sunrisers Hyderabad
230,Vishnu Vinod,20 Lakh,WICKETKEEPER,0.5,65,Sunrisers Hyderabad
231,Fazalhaq Farooqi,50 Lakh,BOWLER,0.5,65,Sunrisers Hyderabad
232,Priyam Garg,20 Lakh,BATTER,0.2,26,Sunrisers Hyderabad
233,R Samarth,20 Lakh,BATTER,0.2,26,Sunrisers Hyderabad
234,Jagadeesha Suchith,20 Lakh,BOWLER,0.2,26,Sunrisers Hyderabad
235,Shashank Singh,20 Lakh,ALL-ROUNDER,0.2,26,Sunrisers Hyderabad
236,Saurabh Dubey,20 Lakh,BOWLER,0.2,26,Sunrisers Hyderabad
237,Suresh Raina,2 Cr,BATTER,0,0,Unsold
238,Steve Smith,2 Cr,BATTER,0,0,Unsold
239,Shakib Al Hasan,2 Cr,ALL-ROUNDER,0,0,Unsold
240,Amit Mishra,1.5 Cr,BOWLER,0,0,Unsold
241,Adil Rashid,2 Cr,BOWLER,0,0,Unsold
242,Imran Tahir,2 Cr,BOWLER,0,0,Unsold
243,Mujeeb Zadran,2 Cr,BOWLER,0,0,Unsold
244,Adam Zampa,2 Cr,BOWLER,0,0,Unsold
245,Rajat Patidar,20 Lakh,BATTER,0,0,Unsold
246,Mohammed Azharuddeen,20 Lakh,WICKETKEEPER,0,0,Unsold
247,Vishnu Solanki,20 Lakh,WICKETKEEPER,0,0,Unsold
248,Sandeep Lamichhane,40 Lakh,BOWLER,0,0,Unsold
249,M. Siddharth,20 Lakh,BOWLER,0,0,Unsold
250,Aaron Finch,1.5 Cr,BATTER,0,0,Unsold
251,Marnus Labuschagne,1 Cr,BATTER,0,0,Unsold
252,Dawid Malan,1.5 Cr,BATTER,0,0,Unsold
253,Eoin Morgan,1.5 Cr,BATTER,0,0,Unsold
254,Cheteshwar Pujara,50 Lakh,BATTER,0,0,Unsold
255,Saurabh Tiwary,50 Lakh,BATTER,0,0,Unsold
256,Sheldon Cottrell,75 Lakh,BOWLER,0,0,Unsold
257,Ishant Sharma,1.5 Cr,BOWLER,0,0,Unsold
258,Qais Ahmad,50 Lakh,BOWLER,0,0,Unsold
259,Piyush Chawla,1 Cr,BOWLER,0,0,Unsold
260,Tabraiz Shamsi,1 Cr,BOWLER,0,0,Unsold
261,Ish Sodhi,50 Lakh,BOWLER,0,0,Unsold
262,Sachin Baby,20 Lakh,BATTER,0,0,Unsold
263,Ricky Bhui,20 Lakh,BATTER,0,0,Unsold
264,Himanshu Rana,20 Lakh,BATTER,0,0,Unsold
265,Harnoor Singh,20 Lakh,BATTER,0,0,Unsold
266,Himmat Singh,20 Lakh,BATTER,0,0,Unsold
267,Virat Singh,20 Lakh,BATTER,0,0,Unsold
268,Arzan Nagwaswalla,20 Lakh,BOWLER,0,0,Unsold
269,Akash Singh,20 Lakh,BOWLER,0,0,Unsold
270,Yash Thakur,20 Lakh,BOWLER,0,0,Unsold
271,Vasu Vats,20 Lakh,BOWLER,0,0,Unsold
272,Mujtaba Yousuf,20 Lakh,BOWLER,0,0,Unsold
273,Chris Lynn,1.5 Cr,BATTER,0,0,Unsold
274,Najibullah Zadran,50 Lakh,BATTER,0,0,Unsold
275,Charith Asalanka,50 Lakh,ALL-ROUNDER,0,0,Unsold
276,George Garton,50 Lakh,ALL-ROUNDER,0,0,Unsold
277,Litton Das,50 Lakh,WICKETKEEPER,0,0,Unsold
278,Niroshan Dickwella,50 Lakh,WICKETKEEPER,0,0,Unsold
279,Andre Fletcher,50 Lakh,WICKETKEEPER,0,0,Unsold
280,Rahmanullah Gurbaz,50 Lakh,WICKETKEEPER,0,0,Unsold
281,Shai Hope,50 Lakh,WICKETKEEPER,0,0,Unsold
282,Heinrich Klaasen,50 Lakh,WICKETKEEPER,0,0,Unsold
283,Ben Mcdermott,50 Lakh,WICKETKEEPER,0,0,Unsold
284,Kusal Mendis,50 Lakh,WICKETKEEPER,0,0,Unsold
285,Kusal Perera,50 Lakh,WICKETKEEPER,0,0,Unsold
286,Joshua Philippe,1 Cr,WICKETKEEPER,0,0,Unsold
287,Reece Topley,75 Lakh,BOWLER,0,0,Unsold
288,Andrew Tye,1 Cr,BOWLER,0,0,Unsold
289,Sandeep Warrier,50 Lakh,BOWLER,0,0,Unsold
290,Todd Astle,75 Lakh,BOWLER,0,0,Unsold
291,Akila Dhananjaya,50 Lakh,BOWLER,0,0,Unsold
292,Zahir Khan,50 Lakh,BOWLER,0,0,Unsold
293,Keshav Maharaj,50 Lakh,BOWLER,0,0,Unsold
294,Waqar Salamkheil,50 Lakh,BOWLER,0,0,Unsold
295,Rahul Sharma,50 Lakh,BOWLER,0,0,Unsold
296,Hayden Walsh,50 Lakh,BOWLER,0,0,Unsold
297,Tanmay Agarwal,20 Lakh,BATTER,0,0,Unsold
298,Shivam Chauhan,20 Lakh,BATTER,0,0,Unsold
299,Nikhil Gangta,20 Lakh,BATTER,0,0,Unsold
300,Rohan Kadam,20 Lakh,BATTER,0,0,Unsold
301,Tom Kohler-Cadmore,40 Lakh,BATTER,0,0,Unsold
302,Priyank Panchal,20 Lakh,BATTER,0,0,Unsold
303,Sameer Rizvi,20 Lakh,BATTER,0,0,Unsold
304,Ritwik Roy Chowdhury,20 Lakh,BATTER,0,0,Unsold
305,Apoorv Wankhade,20 Lakh,BATTER,0,0,Unsold
306,Atharva Ankolekar,20 Lakh,ALL-ROUNDER,0,0,Unsold
307,Tanay Thyagarajan,20 Lakh,ALL-ROUNDER,0,0,Unsold
308,Ankush Bains,20 Lakh,WICKETKEEPER,0,0,Unsold
309,Prashant Chopra,20 Lakh,WICKETKEEPER,0,0,Unsold
310,Kedar Devdhar,20 Lakh,WICKETKEEPER,0,0,Unsold
311,Shreevats Goswami,20 Lakh,WICKETKEEPER,0,0,Unsold
312,Akshdeep Nath,20 Lakh,WICKETKEEPER,0,0,Unsold
313,Aditya Tare,20 Lakh,WICKETKEEPER,0,0,Unsold
314,Upendra Singh Yadav,20 Lakh,WICKETKEEPER,0,0,Unsold
315,Ben Dwarshuis,30 Lakh,BOWLER,0,0,Unsold
316,Pankaj Jaswal,20 Lakh,BOWLER,0,0,Unsold
317,Lukman Hussain Meriwala,20 Lakh,BOWLER,0,0,Unsold
318,Vyshak Vijay Kumar,20 Lakh,BOWLER,0,0,Unsold
319,Zeeshan Ansari,20 Lakh,BOWLER,0,0,Unsold
320,Yuvraj Chudasama,20 Lakh,BOWLER,0,0,Unsold
321,Dharmendrasinh Jadeja,20 Lakh,BOWLER,0,0,Unsold
322,Khrievitso Kense,20 Lakh,BOWLER,0,0,Unsold
323,Prince Balwant Rai,20 Lakh,BOWLER,0,0,Unsold
324,Pardeep Sahu,20 Lakh,BOWLER,0,0,Unsold
325,Jalaj Saxena,30 Lakh,BOWLER,0,0,Unsold
326,Midhun Sudhesan,20 Lakh,BOWLER,0,0,Unsold
327,Martin Guptill,75 Lakh,BATTER,0,0,Unsold
328,Usman Khawaja,1.5 Cr,BATTER,0,0,Unsold
329,Brandon King,50 Lakh,BATTER,0,0,Unsold
330,Janneman Malan,50 Lakh,BATTER,0,0,Unsold
331,Rilee Rossouw,1 Cr,BATTER,0,0,Unsold
332,Paul Stirling,50 Lakh,BATTER,0,0,Unsold
333,Hanuma Vihari,50 Lakh,BATTER,0,0,Unsold
334,James Vince,2 Cr,BATTER,0,0,Unsold
335,Hazratullah Zazai,50 Lakh,BATTER,0,0,Unsold
336,Roston Chase,1 Cr,ALL-ROUNDER,0,0,Unsold
337,Ben Cutting,75 Lakh,ALL-ROUNDER,0,0,Unsold
338,Lewis Gregory,1.5 Cr,ALL-ROUNDER,0,0,Unsold
339,Moises Henriques,1 Cr,ALL-ROUNDER,0,0,Unsold
340,Akeal Hosein,50 Lakh,ALL-ROUNDER,0,0,Unsold
341,Karim Janat,50 Lakh,ALL-ROUNDER,0,0,Unsold
342,Scott Kuggeleijn,75 Lakh,ALL-ROUNDER,0,0,Unsold
343,Pawan Negi,50 Lakh,ALL-ROUNDER,0,0,Unsold
344,Taskin Ahmed,50 Lakh,BOWLER,0,0,Unsold
345,Marchant De Lange,2 Cr,BOWLER,0,0,Unsold
346,Dhawal Kulkarni,75 Lakh,BOWLER,0,0,Unsold
347,Saqib Mahmood,2 Cr,BOWLER,0,0,Unsold
348,Kane Richardson,1.5 Cr,BOWLER,0,0,Unsold
